"대전광역시","두발 미용업",113,425,17020,14690,4400,2127,8163,3712,125,448,18857,15712,3815,5961,2700,3237,5089
"대전광역시","가정용 세탁업",126,250,13352,11134,1690,1033,8411,1262,139,288,16920,13733,2707,2619,2008,6398,2321
"대전광역시","기타 프랜차이즈",699,2417,201787,187548,26322,13523,147703,23529,696,2835,260757,244543,159614,30670,14875,39383,27800
"울산광역시","합계",5165,17914,1467771,1307643,176059,80786,1050798,159554,5258,17894,1626696,1461597,970532,193541,101415,196108,183249
"울산광역시","체인화 편의점",883,3713,425055,411363,29549,12035,369779,24730,867,3784,467427,442725,343713,36628,16876,45509,34557
"울산광역시","문구용품 및 회화용품 소매업",27,73,9568,9033,734,511,7788,618,22,48,5931,5162,4425,228,279,230,213
"울산광역시","의약품 및 의료용품 소매업",59,196,57902,51668,5092,1504,45072,4861,71,245,79837,72998,60371,5632,2845,4149,5392
"울산광역시","안경 및 렌즈 소매업",66,179,19187,16805,3168,1823,11814,2497,59,142,18223,15337,8629,2705,1644,2359,2489
"울산광역시","한식 음식점업",644,2618,179420,161257,30364,14069,116824,28979,759,2685,193899,171185,93283,32167,18514,27222,30496
"울산광역시","외국식 음식점업",168,851,58147,53008,11937,4702,36369,11122,161,725,55487,50531,26907,11691,4970,6962,11473
"울산광역시","제과점업",158,763,61282,57296,6830,3541,46925,6460,163,843,71618,67500,47425,8160,4333,7581,8131
"울산광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",315,1217,67798,60484,10838,5023,44623,10269,323,1289,75219,66670,36150,11108,6869,12544,10434
"울산광역시","치킨전문점",725,1718,101435,84828,7243,5358,72227,6873,732,1751,114621,92631,63226,9553,6345,13508,9204
"울산광역시","김밥, 기타 간이음식점 및 포장 판매점",291,925,45905,40468,6126,3403,30939,5697,303,900,55502,48013,28773,7810,4992,6437,7759
"울산광역시","생맥주 및 기타 주점업",283,684,39082,34171,4428,3534,26209,4209,217,525,33473,27391,15812,4677,3406,3496,4484
"울산광역시","커피 및 기타 비알코올 음료점업",491,1803,80575,70223,14906,9855,45462,14394,441,1497,71265,59520,24279,13055,9924,12261,12704
"울산광역시","자동차 전문 수리업",325,934,112312,100784,22219,2171,76394,18295,345,1086,123158,104488,66060,22441,3891,12096,21265
"울산광역시","두발 미용업",59,317,14608,13477,3979,1918,7580,3201,75,410,20366,18624,2134,6379,2245,7866,5734
"울산광역시","가정용 세탁업",114,191,10283,8692,807,859,7026,749,136,227,12641,7611,3143,791,1381,2295,702
"울산광역시","기타 프랜차이즈",557,1732,185212,134086,17839,10480,105767,16600,584,1738,228030,211210,146202,20517,12901,31592,18212
"세종특별자치시","합계",1402,5401,402292,367999,53438,30553,284008,47620,1463,5519,483147,431844,256417,69261,36126,70040,65356
"세종특별자치시","체인화 편의점",232,933,104050,101624,7709,4213,89702,6113,246,1055,122606,114312,86400,10439,6116,11357,10053
"세종특별자치시","문구용품 및 회화용품 소매업",27,69,10378,9646,829,619,8198,728,21,53,9531,7985,5991,608,539,846,561
"세종특별자치시","의약품 및 의료용품 소매업",21,61,11788,10499,876,692,8931,808,24,61,16781,14440,10709,1301,1032,1397,1123
"세종특별자치시","안경 및 렌즈 소매업",16,39,1991,1899,169,349,1381,164,20,45,6651,5854,2950,915,952,1037,824
"세종특별자치시","한식 음식점업",227,953,57822,50582,10737,5567,34278,9875,236,982,69558,59492,32365,12831,6878,7417,12515
